Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2023,aston martin,ASX,Aston Martin,DB11 V8,562TT5348,0,4.000,JASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.70,22.2,1,Not eqipped,JASX10050824,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0265000,0.0700000,386.6600000,0.0290000,,0.0054000,0.0064000,22.7,MPG,22.7357000,21.7727000,24.8773000,,-11.9900000,-9.2600000,-7.7100000,40.940,0.0169,0.027100,11.260,0.09190,0.025100,TWC,Three-way catalyst,N,,,N,No averaging
2023,aston martin,ASX,Aston Martin,DB11 V8,562TT5348,0,4.000,JASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.70,22.2,1,Not eqipped,JASX10050825,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005000,0.0300000,259.7400000,0.0020000,,,,33.8,MPG,,,,,-3.6400000,-3.2100000,-0.9600000,40.940,0.0169,0.027100,11.260,0.09190,0.025100,TWC,Three-way catalyst,N,,,N,No averaging
2023,aston martin,ASX,Aston Martin,DBS,7002PT7056,0,5.200,KASXV05.2AM5,Car,715,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.93,23.0,1,Not eqipped,KASX10055440,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0422000,0.9848000,499.6900000,0.0262000,,0.0109000,0,17.7,MPG,16.9255000,16.7052000,20.9239000,,-0.9500000,-0.5600000,-0.5800000,40.940,0.0169,0.027100,6.810,0.08070,0.024500,TWC,Three-way catalyst,N,,,N,No averaging
2023,aston martin,ASX,Aston Martin,DBS,7002PT7056,0,5.200,KASXV05.2AM5,Car,715,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.93,23.0,1,Not eqipped,KASX10055442,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.0425000,290.2500000,0.0070000,,,,30.6,MPG,,,,,-2.4500000,-2.1500000,-0.0800000,40.940,0.0169,0.027100,6.810,0.08070,0.024500,TWC,Three-way catalyst,N,,,N,No averaging
2023,aston martin,ASX,Aston Martin,DBX,8001PT8342,1,4.000,MASXJ04.0AEX,Both,550,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.06,21.0,1,Not eqipped,MASX10071301,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0146000,0.1200000,521.2600000,0.0090000,,0.0028000,,17.2,MPG,15.9395000,16.3355000,19.3230000,,-3.1000000,-2.4400000,-2.1100000,60.680,-0.3286,0.037300,-4.880,-0.53180,0.036700,TWC,Three-way catalyst,N,,,N,No averaging
2023,aston martin,ASX,Aston Martin,DBX,8001PT8342,1,4.000,MASXJ04.0AEX,Both,550,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.06,21.0,1,Not eqipped,MASX10071328,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0,327.5400000,0.0020000,,,,27.4,MPG,,,,,-5.2400000,-4.3700000,-0.8800000,60.680,-0.3286,0.037300,-4.880,-0.53180,0.036700,TWC,Three-way catalyst,N,,,N,No averaging
2023,aston martin,ASX,Aston Martin,DBX 707,8841PT8473,0,4.000,PASXJ04.0AEX,Both,707,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.27,22.0,1,Not eqipped,PASX10073957,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0156000,0.1500000,486.7500000,0.0110000,0.0004000,0.0040000,,18.5,MPG,17.7311000,17.8284000,20.4728000,,-0.8400000,-1.0000000,-0.3800000,60.680,-0.3286,0.037300,-4.880,-0.53180,0.036700,TWC,Three-way catalyst,N,,,N,No averaging
2023,aston martin,ASX,Aston Martin,DBX 707,8841PT8473,0,4.000,PASXJ04.0AEX,Both,707,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.27,22.0,1,Not eqipped,PASX10073958,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.0200000,331.4800000,0.0030000,,,,27.2,MPG,,,,,-5.0300000,-4.1600000,-1.2100000,60.680,-0.3286,0.037300,-4.880,-0.53180,0.036700,TWC,Three-way catalyst,N,,,N,No averaging
2023,aston martin,ASX,Aston Martin,V12 Vantage,6881PT6807,0,5.200,PASXV05.2AM5,Car,700,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.93,22.9,1,Not eqipped,PASX10075195,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0212000,0.3900000,535.7200000,0.0310000,0.0008000,0.0056000,,16.8,MPG,16.2235000,15.5692000,20.2441000,,1.5100000,1.2000000,0.7100000,40.940,0.0169,0.027100,6.810,0.08070,0.024500,TWC,Three-way catalyst,N,,,N,No averaging
2023,aston martin,ASX,Aston Martin,V12 Vantage,6881PT6807,0,5.200,PASXV05.2AM5,Car,700,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.93,22.9,1,Not eqipped,PASX10075196,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0001000,0.0400000,296.9700000,0.0040000,,,,30.3,MPG,,,,,2.7300000,2.2300000,0.2000000,40.940,0.0169,0.027100,6.810,0.08070,0.024500,TWC,Three-way catalyst,N,,,N,No averaging
